source_code,source_name,publisher,source_url,source_version,captured_at,captured_by,sha256,archive_path,dedup_rule,note
A/B,5A级旅游景区,文化和旅游部,https://www.mct.gov.cn/tourism/#/list,API目录ID-4/2026-09-04,2026-09-04T14:49+08:00,Codex,319e6f57e3788ed90bfba403264fe4862fe2501ad65b4db898a9bc53c2602131,数据来源/文化和旅游部/content_4.json,官方名称｜省份｜来源目录｜MCT内容ID,文化和旅游部公开名录接口抓取，N0 版本锁定源
H,红色旅游经典景区,文化和旅游部,https://www.mct.gov.cn/tourism/#/list,API目录ID-40/2026-09-04,2026-09-04T14:49+08:00,Codex,4cc34320b47ac51013f458d2e77ab98de6462a492d574aa36d0bc2fd71232a7c,数据来源/文化和旅游部/content_40.json,官方名称｜省份｜来源目录｜MCT内容ID,文化和旅游部公开名录接口抓取，N0 版本锁定源
J,第一批全国乡村旅游重点村,文化和旅游部,https://www.mct.gov.cn/tourism/#/list,API目录ID-36/2026-09-04,2026-09-04T14:49+08:00,Codex,6ff4014b800c3f01c4686b00d3868d28fc8d1c7fa352056b39723255b6b3d24f,数据来源/文化和旅游部/content_36.json,官方名称｜省份｜来源目录｜MCT内容ID,文化和旅游部公开名录接口抓取，N0 版本锁定源
J,第二批全国乡村旅游重点村,文化和旅游部,https://www.mct.gov.cn/tourism/#/list,API目录ID-37/2026-09-04,2026-09-04T14:49+08:00,Codex,52f213b7262afeac938685a393b9af1b64c4a8ceb0b7df102155dc5a7f035173,数据来源/文化和旅游部/content_37.json,官方名称｜省份｜来源目录｜MCT内容ID,文化和旅游部公开名录接口抓取，N0 版本锁定源
J,第三批全国乡村旅游重点村,文化和旅游部,https://www.mct.gov.cn/tourism/#/list,API目录ID-38/2026-09-04,2026-09-04T14:49+08:00,Codex,6f708146eb7e98c02a6c1945c15556088ce0d7b3989dacc5ce448bab80cdda7b,数据来源/文化和旅游部/content_38.json,官方名称｜省份｜来源目录｜MCT内容ID,文化和旅游部公开名录接口抓取，N0 版本锁定源
J,第四批全国乡村旅游重点村,文化和旅游部,https://www.mct.gov.cn/tourism/#/list,API目录ID-43/2026-09-04,2026-09-04T14:49+08:00,Codex,5a8965d24727102c35ce05e6f2e193125cb645391acc17060f55f60db30b31d9,数据来源/文化和旅游部/content_43.json,官方名称｜省份｜来源目录｜MCT内容ID,文化和旅游部公开名录接口抓取，N0 版本锁定源
J,第一批全国乡村旅游重点镇,文化和旅游部,https://www.mct.gov.cn/tourism/#/list,API目录ID-39/2026-09-04,2026-09-04T14:49+08:00,Codex,ca6e21ab5ca68c2b590f16b0916ddd45da7ea9046bfcbc3e58404e7acda78a12,数据来源/文化和旅游部/content_39.json,官方名称｜省份｜来源目录｜MCT内容ID,文化和旅游部公开名录接口抓取，N0 版本锁定源
J,第二批全国乡村旅游重点镇,文化和旅游部,https://www.mct.gov.cn/tourism/#/list,API目录ID-44/2026-09-04,2026-09-04T14:49+08:00,Codex,8059b8e3bd68000c092c7323d33cb70617b08ec7d121f3bde03966cd5f42ad20,数据来源/文化和旅游部/content_44.json,官方名称｜省份｜来源目录｜MCT内容ID,文化和旅游部公开名录接口抓取，N0 版本锁定源
J,国家级旅游度假区,文化和旅游部,https://www.mct.gov.cn/tourism/#/list,API目录ID-56/2026-09-04,2026-09-04T14:49+08:00,Codex,68934ecc485d4bbc999dc95cb08e500d10c4724e4a5b235f0a845506431e4d81,数据来源/文化和旅游部/content_56.json,官方名称｜省份｜来源目录｜MCT内容ID,文化和旅游部公开名录接口抓取，N0 版本锁定源
I,第一批国家级旅游休闲街区,文化和旅游部,https://www.mct.gov.cn/tourism/#/list,API目录ID-49/2026-09-04,2026-09-04T14:49+08:00,Codex,7e6eed612f7543b2f8cb00fb705191b246df1a17ce79bb2899b4fb0b38dfdc6e,数据来源/文化和旅游部/content_49.json,官方名称｜省份｜来源目录｜MCT内容ID,文化和旅游部公开名录接口抓取，N0 版本锁定源
I,第二批国家级旅游休闲街区,文化和旅游部,https://www.mct.gov.cn/tourism/#/list,API目录ID-50/2026-09-04,2026-09-04T14:49+08:00,Codex,d61aca3e24e5db22d1cc5f56c79c0d5fc84074411322cac80f2070c99ed93f2b,数据来源/文化和旅游部/content_50.json,官方名称｜省份｜来源目录｜MCT内容ID,文化和旅游部公开名录接口抓取，N0 版本锁定源
I,第三批国家级旅游休闲街区,文化和旅游部,https://www.mct.gov.cn/tourism/#/list,API目录ID-60/2026-09-04,2026-09-04T14:49+08:00,Codex,f1c15943c271a883105a2680c587ef422ee407264a7370f10114eb13601cc479,数据来源/文化和旅游部/content_60.json,官方名称｜省份｜来源目录｜MCT内容ID,文化和旅游部公开名录接口抓取，N0 版本锁定源
I,第四批国家级旅游休闲街区,文化和旅游部,https://www.mct.gov.cn/tourism/#/list,API目录ID-61/2026-09-04,2026-09-04T14:49+08:00,Codex,4bfb30b09d7b3bed8384d12d01b211da4543157d43a7cd290130a64a819cfc7c,数据来源/文化和旅游部/content_61.json,官方名称｜省份｜来源目录｜MCT内容ID,文化和旅游部公开名录接口抓取，N0 版本锁定源
J,第一批国家级滑雪旅游度假地,文化和旅游部,https://www.mct.gov.cn/tourism/#/list,API目录ID-51/2026-09-04,2026-09-04T14:49+08:00,Codex,8e315e75ff819eac0c4aa4ee00a31c675b8edc90c5fb427ae8d969a84335a413,数据来源/文化和旅游部/content_51.json,官方名称｜省份｜来源目录｜MCT内容ID,文化和旅游部公开名录接口抓取，N0 版本锁定源
