kb_id,kb_name,kb_city,official_name,pool_id,coverage_status,classification,confidence,reason
A001,故宫博物院,北京,故宫博物院,CN-P-000001,covered,covered_exact,high,MCT 5A名录全称一致
A002,八达岭长城,北京,八达岭—慕田峪长城旅游区,CN-P-000004,covered,covered_component,high,官方为八达岭—慕田峪组合5A，KB为八达岭段
A003,天坛公园,北京,天坛公园,CN-P-000002,covered,covered_exact,high,MCT 5A名录全称一致
A004,颐和园,北京,颐和园,CN-P-000003,covered,covered_exact,high,MCT 5A名录全称一致
A005,圆明园遗址公园,北京,圆明园遗址公园景区,CN-P-000008,covered,covered_variant,high,官方名多景区后缀，主体一致
A006,中国国家博物馆,北京,中国国家博物馆,CN-P-000363,covered,covered_exact,high,红色旅游名录全称一致
A007,天安门广场,北京,天安门广场,CN-P-000359,covered,covered_exact,high,红色旅游名录全称一致
A008,什刹海与南锣鼓巷,北京,,,pending,experience,medium,什刹海与南锣鼓巷为城市文化街区组合体验
A009,北海公园,北京,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A010,798艺术区,北京,北京市798艺术区,CN-P-002644,pending,covered_variant,high,工业旅游名录含北京市798艺术区
A011,江岭,婺源,上饶市婺源县溪头乡西岸村江岭村,CN-P-001255,pending,pending,medium,来源为江岭村乡村旅游名录，需确认观景主体同名
A012,篁岭,婺源,上饶市篁岭景区,CN-P-000160,covered,covered_exact,high,MCT 5A名录含行政区前缀
A013,思溪延村,婺源,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A014,李坑,婺源,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A015,汪口,婺源,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A016,江湾,婺源,上饶市婺源县江湾景区,CN-P-000150,covered,covered_exact,high,MCT 5A名录含行政区前缀
A017,彩虹桥,婺源,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A018,卧龙谷,婺源,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A019,晓起村,婺源,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A020,月亮湾,婺源,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A021,黄山风景区,黄山,黄山市黄山风景区,CN-P-000121,covered,covered_exact,high,MCT 5A名录含行政区前缀
A022,迎客松,黄山,黄山市黄山风景区,CN-P-000121,pending,covered_component,high,黄山风景区内部点，父卡核心看点已列
A023,光明顶,黄山,黄山市黄山风景区,CN-P-000121,pending,covered_component,high,黄山风景区内部点，父卡核心看点已列
A024,西海大峡谷,黄山,黄山市黄山风景区,CN-P-000121,pending,covered_component,high,黄山风景区内部点，父卡核心看点已列
A025,飞来石,黄山,黄山市黄山风景区,CN-P-000121,pending,covered_component,high,黄山风景区内部点，父卡核心看点已列
A026,宏村,黄山,黄山市皖南古村落－西递宏村,CN-P-000124,pending,covered_component,high,官方为西递宏村组合5A
A027,西递,黄山,黄山市皖南古村落－西递宏村,CN-P-000124,pending,covered_component,high,官方为西递宏村组合5A
A028,屯溪老街,黄山,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A029,新安江山水画廊,黄山,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A030,塔川,黄山,黄山市黟县宏村镇塔川村,CN-P-001208,pending,covered_variant,high,乡村旅游名录含宏村镇塔川村
A031,环岛路,平潭,,,pending,experience,medium,环岛路为滨海线路区域体验
A032,北港村,平潭,平潭综合实验区流水镇北港村,CN-P-000779,pending,covered_variant,high,乡村旅游名录含平潭流水镇北港村
A033,坛南湾,平潭,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A034,龙王头海滨浴场,平潭,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A035,海坛古城,平潭,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A036,长江澳,平潭,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A037,君山,平潭,福建省平潭综合实验区君山镇,CN-P-002096,pending,pending,medium,来源仅有君山镇地名，需确认山体景点主体
A038,蓝眼泪观测点,平潭,,,pending,experience,high,自然现象观测点，不宜按独立景区覆盖
A039,将军山,平潭,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A040,石牌洋,平潭,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A041,开元寺,泉州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A042,西街,泉州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A043,府文庙,泉州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A044,清净寺,泉州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A045,天后宫,泉州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A046,清源山,泉州,泉州市清源山风景名胜区,CN-P-000139,covered,covered_exact,high,MCT 5A名录含行政区前缀
A047,蟳埔村,泉州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A048,中山路,泉州,泉州中山路旅游休闲街区,CN-P-002418,covered,covered_variant,high,官方街区全称含旅游休闲街区
A049,泉州海外交通史博物馆,泉州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A050,洛阳桥,泉州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A051,呼伦贝尔大草原,呼伦贝尔,呼伦贝尔市呼伦贝尔大草原·莫尔格勒河景区,CN-P-000043,pending,covered_component,high,官方为大草原与莫尔格勒河组合5A
A052,额尔古纳湿地,呼伦贝尔,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A053,满洲里,呼伦贝尔,,,pending,experience,medium,边境城市体验，名录中红色基地非同一主体
A054,莫日格勒河,呼伦贝尔,呼伦贝尔市呼伦贝尔大草原·莫尔格勒河景区,CN-P-000043,pending,covered_component,high,官方为大草原与莫尔格勒河组合5A
A055,根河,呼伦贝尔,,,pending,experience,medium,森林小城与区域体验
A056,室韦,呼伦贝尔,呼伦贝尔市额尔古纳市蒙兀室韦苏木室韦村,CN-P-000695,pending,covered_variant,high,乡村旅游名录含蒙兀室韦苏木室韦村
A057,阿尔山,呼伦贝尔,兴安盟阿尔山-柴河旅游景区,CN-P-000040,covered,cross_city,high,来源确认景区属兴安盟，不在呼伦贝尔
A058,敖鲁古雅使鹿部落,呼伦贝尔,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A059,套娃广场,呼伦贝尔,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A060,黑山头草原,呼伦贝尔,,,pending,experience,medium,草原体验区域，无同名景区来源
A061,布达拉宫,拉萨,拉萨市布达拉宫景区,CN-P-000305,covered,covered_exact,high,MCT 5A名录含行政区前缀
A062,大昭寺,拉萨,拉萨市大昭寺景区,CN-P-000306,covered,covered_exact,high,MCT 5A名录含行政区前缀
A063,八廓街,拉萨,八廓街,CN-P-002497,covered,covered_exact,high,第三批旅游休闲街区全称一致
A064,罗布林卡,拉萨,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A065,色拉寺,拉萨,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A066,哲蚌寺,拉萨,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A067,纳木错,拉萨,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A068,羊卓雍措,拉萨,,,pending,cross_city,high,主体在山南市浪卡子县，实际行政归属不在拉萨
A069,宗角禄康公园,拉萨,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A070,西藏博物馆,拉萨,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A071,青海湖,西宁-青海湖,青海湖风景区,CN-P-000331,covered,covered_exact,high,MCT 5A名录全称一致
A072,茶卡盐湖,西宁-青海湖,,,pending,cross_city,high,茶卡盐湖属海西州乌兰县，不在西宁市
A073,塔尔寺,西宁-青海湖,西宁市塔尔寺景区,CN-P-000332,covered,covered_exact,high,MCT 5A名录含行政区前缀
A074,日月山,西宁-青海湖,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A075,门源油菜花,西宁-青海湖,,,pending,cross_city,high,门源油菜花属海北州门源县，不在西宁市
A076,祁连山,西宁-青海湖,,,pending,cross_city,high,祁连山主体跨海北州等行政区，不在西宁市域
A077,黑马河,西宁-青海湖,,,pending,cross_city,high,黑马河属海南州共和县，不在西宁市
A078,西宁东关清真大寺,西宁-青海湖,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A079,卓尔山,西宁-青海湖,,,pending,cross_city,high,卓尔山属海北州祁连县，不在西宁市
