kb_id,kb_name,kb_city,classification,operational_status,status_source,status_checked_at,status_note
A001,故宫博物院,北京,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A002,八达岭长城,北京,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A003,天坛公园,北京,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A004,颐和园,北京,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A005,圆明园遗址公园,北京,covered_variant,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A006,中国国家博物馆,北京,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A007,天安门广场,北京,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A008,什刹海与南锣鼓巷,北京,experience,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A009,北海公园,北京,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A010,798艺术区,北京,covered_variant,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A011,江岭,婺源,pending,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A012,篁岭,婺源,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A013,思溪延村,婺源,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A014,李坑,婺源,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A015,汪口,婺源,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A016,江湾,婺源,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A017,彩虹桥,婺源,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A018,卧龙谷,婺源,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A019,晓起村,婺源,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A020,月亮湾,婺源,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A021,黄山风景区,黄山,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A026,宏村,黄山,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A027,西递,黄山,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A028,屯溪老街,黄山,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A029,新安江山水画廊,黄山,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A030,塔川,黄山,covered_variant,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A031,环岛路,平潭,experience,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A032,北港村,平潭,covered_variant,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A033,坛南湾,平潭,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A034,龙王头海滨浴场,平潭,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A035,海坛古城,平潭,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A036,长江澳,平潭,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A037,君山,平潭,pending,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A038,蓝眼泪观测点,平潭,experience,seasonal,本地口径登记,2026-09-04,蓝眼泪为季节性自然现象，观赏受季节、天气和海况影响
A039,将军山,平潭,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A040,石牌洋,平潭,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A041,开元寺,泉州,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A042,西街,泉州,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A043,府文庙,泉州,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A044,清净寺,泉州,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A045,天后宫,泉州,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A046,清源山,泉州,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A047,蟳埔村,泉州,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A048,中山路,泉州,covered_variant,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A049,泉州海外交通史博物馆,泉州,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A050,洛阳桥,泉州,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A051,呼伦贝尔大草原,呼伦贝尔,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A052,额尔古纳湿地,呼伦贝尔,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A053,满洲里,呼伦贝尔,experience,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A055,根河,呼伦贝尔,experience,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A056,室韦,呼伦贝尔,covered_variant,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A057,阿尔山,呼伦贝尔,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A058,敖鲁古雅使鹿部落,呼伦贝尔,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A059,套娃广场,呼伦贝尔,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A060,黑山头草原,呼伦贝尔,experience,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A061,布达拉宫,拉萨,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A062,大昭寺,拉萨,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A063,八廓街,拉萨,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A064,罗布林卡,拉萨,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A065,色拉寺,拉萨,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A066,哲蚌寺,拉萨,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A067,纳木错,拉萨,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A068,羊卓雍措,拉萨,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A069,宗角禄康公园,拉萨,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A070,西藏博物馆,拉萨,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
