条目ID,名称,目的地,字段,当前口径,状态,处理建议
A201,亚龙湾,三亚,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A201,亚龙湾,三亚,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A202,蜈支洲岛,三亚,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A202,蜈支洲岛,三亚,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A203,天涯海角,三亚,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A203,天涯海角,三亚,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A204,南山文化旅游区,三亚,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A204,南山文化旅游区,三亚,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A205,亚龙湾热带天堂森林公园,三亚,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A205,亚龙湾热带天堂森林公园,三亚,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A206,三亚湾,三亚,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A206,三亚湾,三亚,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A207,大小洞天,三亚,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A207,大小洞天,三亚,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A208,海棠湾,三亚,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A208,海棠湾,三亚,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A209,大东海旅游区,三亚,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A209,大东海旅游区,三亚,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A210,三亚千古情景区,三亚,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A210,三亚千古情景区,三亚,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A332,上海迪士尼乐园,上海,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A332,上海迪士尼乐园,上海,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A333,豫园与城隍庙,上海,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A333,豫园与城隍庙,上海,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
